Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,Andalucia,,,,,,,,"310,465","357,813","465,765"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,Andalucia,,,,,,,,"83,555","182,912","181,391"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of beverages,Andalucia,,,,,,,,"82,232","147,308","140,282"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,Andalucia,,,,,,,,"135,437","120,853","138,779"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of other non-metallic mineral products,Andalucia,,,,,,,,"71,157","100,687","102,507"
"Employment (Number, FTE) in Manufacture of food products",Andalucia,,,,,,,,"46,303","47,059","49,283"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Andalucia,,,,,,,,"21,132","21,406","22,231"
"Employment (Number, FTE) in Repair and installation of machinery and equipment",Andalucia,,,,,,,,"10,711","14,128","15,379"
"Employment (Number, FTE) in Manufacture of other non-metallic mineral products",Andalucia,,,,,,,,"10,449","10,871","11,143"
"Employment (Number, FTE) in Manufacture of other transport equipment",Andalucia,,,,,,,,"9,153","8,908","9,665"
"Employment (Number, FTE) in Manufacture of furniture",Andalucia,,,,,,,,"8,565","8,963","9,347"
Firms (Number) in Manufacture of food products,Andalucia,,,,,,,,"5,164","5,215","5,854"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Andalucia,,,,,,,,"4,813","4,767","4,911"
Firms (Number) in Manufacture of furniture,Andalucia,,,,,,,,"2,035","2,074","2,132"
Firms (Number) in Manufacture of other non-metallic mineral products,Andalucia,,,,,,,,"1,745","1,724","1,817"
Firms (Number) in Other manufacturing,Andalucia,,,,,,,,"1,825","1,776","1,806"
Firms (Number) in Repair and installation of machinery and equipment,Andalucia,,,,,,,,"1,285","1,581","1,787"
Firms (Number) in Printing and reproduction of recorded media,Madrid,,,,,,,,"3,018","2,842","3,154"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Madrid,,,,,,,,"2,999","3,110","3,069"
Firms (Number) in Manufacture of food products,Madrid,,,,,,,,"1,289","1,357","1,504"
Firms (Number) in Manufacture of wearing apparel,Madrid,,,,,,,,"1,273","1,322","1,445"
Firms (Number) in Repair and installation of machinery and equipment,Madrid,,,,,,,,"1,172","1,245","1,344"
"Revenue (in Thousand Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Madrid,,,,,,,,"3,830,666","4,194,025","5,645,225"
Revenue (in Thousand Euro) in Manufacture of other transport equipment,Madrid,,,,,,,,"5,100,298","5,544,337","5,171,716"
Revenue (in Thousand Euro) in Manufacture of food products,Madrid,,,,,,,,"4,331,491","4,243,724","4,984,939"
Revenue (in Thousand Euro) in Manufacture of basic pharmaceutical products and pharmaceutical preparations,Madrid,,,,,,,,"4,554,693","4,443,679","4,538,530"
Revenue (in Thousand Euro) in Manufacture of machinery and equipment n.e.c.,Madrid,,,,,,,,"2,406,332","2,573,210","2,811,932"
"Revenue (in Thousand Euro) in Manufacture of fabricated metal products, except machinery and equipment",Madrid,,,,,,,,"2,440,956","2,577,963","2,702,387"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Madrid,,,,,,,,"169,801","311,951","171,944"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,Madrid,,,,,,,,"145,551","158,236","168,591"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic pharmaceutical products and pharmaceutical preparations,Madrid,,,,,,,,"105,489","133,888","139,402"
Gross Investment in Tangible Goods (Million Euro) in Printing and reproduction of recorded media,Madrid,,,,,,,,"105,707","72,429","79,354"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Madrid,,,,,,,,"94,544","95,588","72,475"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,Madrid,,,,,,,,"51,852","78,513","63,380"
"Employment (Number, FTE) in Manufacture of food products",Madrid,,,,,,,,"17,745","19,351","20,811"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Madrid,,,,,,,,"18,369","19,653","19,332"
"Employment (Number, FTE) in Printing and reproduction of recorded media",Madrid,,,,,,,,"15,009","14,584","14,709"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Madrid,,,,,,,,"11,934","13,970","14,602"
"Employment (Number, FTE) in Repair and installation of machinery and equipment",Madrid,,,,,,,,"13,382","12,779","13,938"
"Employment (Number, FTE) in Manufacture of other transport equipment",Madrid,,,,,,,,"11,789","12,614","12,590"
"Employment (Number, FTE) in Manufacture of food products",Spain,"298,222","296,149","291,085","284,456","274,050","280,028","287,596","308,543","322,010","344,827"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Spain,"262,521","248,871","233,261","205,134","194,367","188,952","195,244","203,630","214,749","227,601"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Spain,"128,945","129,153","129,770","121,430","120,090","125,825","134,548","146,883","151,530","156,470"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Spain,"107,206","99,845","96,143","93,610","91,556","92,198","94,531","97,679","100,716","107,411"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Spain,"95,186","92,377","90,082","84,476","83,565","81,939","85,892","88,714","91,952","96,600"
"Employment (Number, FTE) in Manufacture of other non-metallic mineral products",Spain,"138,453","122,946","111,438","93,109","82,357","78,157","78,375","82,812","85,007","91,682"
"Employment (Number, FTE) in Manufacture of chemicals and chemical products",Spain,"82,309","81,521","78,970","77,651","77,060","76,751","79,603","83,567","86,173","89,989"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,Spain,"2,844.20","2,728.40","2,712","2,476","2,275","2,578.50","2,699","2,843","3,249.50","3,539.40"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Spain,"1,785.30","1,257.40","1,339.60","2,030.60","2,580.80","2,358.40","2,694.60","2,562.80","2,763.40","3,069.30"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Spain,"1,109",935.8,931.3,850.1,828,"1,073.90","1,391.30","1,254.60","1,455","1,599.50"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,Spain,"1,176",833.3,876.5,955.5,"1,244.70","1,408.30","1,208.80","1,239.10","1,340.80","1,407.10"
