Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Firms (Number) in Manufacture of food products,North Rhine-Westphalia,949,"4,462","4,351","4,277","4,078","3,939","3,900","3,872","3,868","3,878"
Firms (Number) in Manufacture of chemicals and chemical products,North Rhine-Westphalia,412,"2,002","1,942","1,916","1,880","1,862","1,858","1,874","1,855","1,869"
Firms (Number) in Manufacture of rubber and plastic products,North Rhine-Westphalia,685,"3,060","3,056","2,987","2,993","2,931","2,918","2,946","2,958","2,938"
Firms (Number) in Manufacture of basic metals,North Rhine-Westphalia,458,"1,992","1,941","1,886","1,872","1,820","1,819","1,759","1,700","1,617"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",North Rhine-Westphalia,"1,887","8,480","8,286","8,317","8,178","8,425","8,269","8,107","7,977","7,508"
Firms (Number) in Manufacture of electrical equipment,North Rhine-Westphalia,472,"2,061","2,029","2,070","2,052","2,022","2,000","1,922","1,855","1,817"
Firms (Number) in Manufacture of machinery and equipment n.e.c.,North Rhine-Westphalia,"1,403","6,343","6,327","6,383","6,361","6,280","6,097","5,882","5,726","5,712"
"Firms (Number) in Manufacture of motor vehicles, trailers and semi-trailers",North Rhine-Westphalia,240,"1,111","1,082","1,041",987,979,935,945,935,945
Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,North Rhine-Westphalia,17.1,16.7,17,17.2,17.3,17.1,16.9,16.6,16.5,16.6
"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",North Rhine-Westphalia,13.8,13.8,14,14.1,14.2,14.5,14.6,14.7,14.6,14.4
Share at Manufacturing Employment Manufacture of basic metals,North Rhine-Westphalia,9.5,9.3,9.2,9.2,9.1,9,9.1,8.9,8.9,8.8
Share at Manufacturing Employment Manufacture of food products,North Rhine-Westphalia,7.4,7.5,7.4,7.4,7.4,7.3,7.6,7.8,8.2,8.3
Share at Manufacturing Employment Manufacture of chemicals and chemical products,North Rhine-Westphalia,7.4,7.8,7.7,7.6,7.7,7.8,7.9,7.8,7.8,7.9
Share at Manufacturing Employment Manufacture of electrical equipment,North Rhine-Westphalia,7.2,7.2,7.3,7.3,7.3,7.4,7.2,7.3,7.3,7.4
"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",North Rhine-Westphalia,5.8,6,6,6.1,6.2,6.3,6.4,6.6,6.6,6.7
Share at Manufacturing Employment Manufacture of rubber and plastic products,North Rhine-Westphalia,7.1,7.2,7.2,7.2,7,7,6.8,6.9,6.8,6.7
Wages Manufacture of machinery and equipment n.e.c.,North Rhine-Westphalia,"8,815.90","9,880.70","10,685.30","11,100.40","11,381","11,565.30","11,688.90","11,609.30","11,854.40","12,417.50"
"Wages Manufacture of fabricated metal products, except machinery and equipment",North Rhine-Westphalia,"5,683.80","6,607.70","7,088.10","7,327","7,569.30","7,902.40","8,113","8,227.40","8,424.70","8,654.20"
Wages Manufacture of chemicals and chemical products,North Rhine-Westphalia,"4,415.10","5,462.70","5,839.30","5,970.80","6,235.90","6,301.80","6,522.60","6,643.70","6,886.50","7,202.10"
Wages Manufacture of basic metals,North Rhine-Westphalia,"4,545.30","5,238.30","5,484.70","5,665.30","5,674.30","5,746.40","5,940.60","5,936","6,079","6,272.80"
"Wages Manufacture of motor vehicles, trailers and semi-trailers",North Rhine-Westphalia,"3,535","4,248","4,512.50","4,697.80","4,795.80","4,943.90","5,007.60","5,122.80","5,241.60","5,514.60"
Wages Manufacture of electrical equipment,North Rhine-Westphalia,"3,433.80","3,927.70","4,152.30","4,358.30","4,460.60","4,632.30","4,677.20","4,849.40","4,999.20","5,326.40"
Wages Manufacture of food products,North Rhine-Westphalia,"2,481.50","2,862.60","2,938.80","3,015.20","3,054","3,062.80","3,237.80","3,339.80","3,541.60","3,740.10"
Wages Manufacture of rubber and plastic products,North Rhine-Westphalia,"2,356.40","2,796.80","2,893.70","2,997.10","3,114.70","3,207.10","3,307.20","3,461.20","3,566.40","3,725"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Saxony,"35,449","45,198","47,290","48,524","49,526","47,636","47,062","47,503","48,751","49,307"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Saxony,"34,496","43,533","46,353","47,040","46,448","46,447","46,026","46,580","46,952","48,392"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Saxony,"24,164","31,052","32,566","33,756","34,917","39,737","43,006","43,588","44,775","44,773"
"Employment (Number, FTE) in Manufacture of computer, electronic and optical products",Saxony,"13,627","18,296","19,845","19,930","20,824","20,555","22,722","22,841","22,152","22,800"
"Employment (Number, FTE) in Manufacture of food products",Saxony,"16,495","21,261","21,535","21,567","21,527","21,426","21,438","21,617","21,976","22,070"
"Employment (Number, FTE) in Manufacture of electrical equipment",Saxony,"12,004","16,120","17,705","18,613","18,507","18,912","18,587","18,802","19,317","19,824"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Saxony,"11,218","14,800","15,793","15,693","16,039","16,936","16,874","16,857","16,381","16,519"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Saxony,541,"2,362","2,341","2,365","2,396","2,343","2,277","2,262","2,252","2,201"
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Saxony,363,"1,606","1,614","1,577","1,558","1,497","1,474","1,442","1,373","1,357"
Firms (Number) in Manufacture of food products,Saxony,315,"1,426","1,471","1,448","1,425","1,377","1,327","1,329","1,332","1,286"
Firms (Number) in Manufacture of rubber and plastic products,Saxony,156,693,687,676,681,669,647,621,633,620
Firms (Number) in Manufacture of electrical equipment,Saxony,128,601,596,615,598,629,601,589,591,563
"Firms (Number) in Manufacture of computer, electronic and optical products",Saxony,96,460,447,430,426,460,460,460,467,463
"Firms (Number) in Manufacture of motor vehicles, trailers and semi-trailers",Saxony,113,492,460,427,428,454,468,471,460,450
Firms (Number) in Manufacture of basic metals,Saxony,68,311,312,301,302,298,302,282,258,253
"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",Saxony,15.3,15.2,15.2,15.4,15.6,14.8,14.5,14.5,14.8,14.7
Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,Saxony,14.9,14.6,14.9,14.9,14.7,14.4,14.2,14.3,14.2,14.5
"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",Saxony,10.4,10.4,10.5,10.7,11,12.3,13.2,13.3,13.6,13.4
"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",Saxony,5.9,6.1,6.4,6.3,6.6,6.4,7,7,6.7,6.8
Share at Manufacturing Employment Manufacture of food products,Saxony,7.1,7.1,6.9,6.8,6.8,6.7,6.6,6.6,6.7,6.6
Share at Manufacturing Employment Manufacture of electrical equipment,Saxony,5.2,5.4,5.7,5.9,5.8,5.9,5.7,5.8,5.8,5.9
Share at Manufacturing Employment Manufacture of rubber and plastic products,Saxony,4.8,5,5.1,5,5.1,5.3,5.2,5.2,5,4.9
"Wages Manufacture of motor vehicles, trailers and semi-trailers",Saxony,797,"1,050","1,172.80","1,338","1,520","1,767.20","1,892.40","2,000.10","2,044.80","2,149.20"
Wages Manufacture of machinery and equipment n.e.c.,Saxony,"1,067.10","1,309.70","1,451.50","1,528.40","1,546.90","1,595.40","1,623.10","1,679.90","1,743","1,848"
"Wages Manufacture of fabricated metal products, except machinery and equipment",Saxony,826.2,"1,039.70","1,142.30","1,209.80","1,266.10","1,225.80","1,239.30","1,281.40","1,362.40","1,425.90"
"Wages Manufacture of computer, electronic and optical products",Saxony,461.2,619.2,704.1,746.2,806.6,819.9,931.2,939.9,942.4,975.1
Wages Manufacture of electrical equipment,Saxony,327.3,424.5,485.9,542,557.7,576.2,591.3,603.7,637.6,681.6
Wages Manufacture of food products,Saxony,322.1,391.2,409.5,417.8,429.9,437.9,477.4,508.6,537.9,564.5
Wages Manufacture of basic metals,Saxony,268.2,340.2,373.1,396.6,396.2,432.5,460.6,457.9,490.3,499.5
Wages Manufacture of rubber and plastic products,Saxony,253.5,323.7,357.1,368.1,389,421.2,437.7,453.9,458.7,481
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Thuringia,"23,731","30,670","30,916","32,218","32,071","32,151","33,018","34,211","35,582","36,378"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Thuringia,"14,310","18,670","19,594","19,512","19,716","21,078","21,686","22,117","22,881","22,914"
"Employment (Number, FTE) in Manufacture of food products",Thuringia,"16,574","21,347","21,251","21,300","21,395","21,010","21,427","21,896","21,647","22,815"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Thuringia,"16,767","21,332","20,700","21,887","22,021","21,506","22,050","21,663","21,464","21,864"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Thuringia,"14,592","18,768","19,318","18,331","19,356","20,125","21,167","20,875","20,875","20,773"
"Employment (Number, FTE) in Manufacture of computer, electronic and optical products",Thuringia,"12,887","16,293","17,857","19,228","18,058","17,024","17,400","16,956","16,509","16,907"
"Employment (Number, FTE) in Manufacture of electrical equipment",Thuringia,"9,065","11,669","12,728","12,908","12,722","13,053","13,352","12,475","12,650","12,815"
"Employment (Number, FTE) in Manufacture of other non-metallic mineral products",Thuringia,"9,026","12,009","12,377","12,287","12,234","11,993","11,686","11,257","11,369","11,714"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Thuringia,354,"1,473","1,407","1,397","1,445","1,384","1,411","1,360","1,360","1,336"
Firms (Number) in Manufacture of rubber and plastic products,Thuringia,184,752,749,746,741,732,734,729,735,721
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Thuringia,187,820,745,722,729,704,738,694,655,645
Firms (Number) in Manufacture of food products,Thuringia,184,781,761,722,745,716,697,674,655,627
Firms (Number) in Manufacture of other non-metallic mineral products,Thuringia,146,611,572,571,592,583,572,564,542,536
"Firms (Number) in Manufacture of computer, electronic and optical products",Thuringia,116,488,494,511,523,498,539,501,496,483
Firms (Number) in Manufacture of electrical equipment,Thuringia,89,369,383,371,382,396,422,398,379,359
"Firms (Number) in Manufacture of motor vehicles, trailers and semi-trailers",Thuringia,88,382,358,315,326,316,324,300,292,298
"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",Thuringia,15.6,15.7,15.2,15.8,15.7,15.7,15.9,16.6,17.2,17.3
Share at Manufacturing Employment Manufacture of rubber and plastic products,Thuringia,10.9,10.9,10.5,10.4,10.5,10.3,10.3,10.7,10.5,10.9
Share at Manufacturing Employment Manufacture of food products,Thuringia,9.4,9.6,9.7,9.5,9.6,10.3,10.4,10.8,11.1,10.9
Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,Thuringia,11,10.9,10.2,10.7,10.8,10.5,10.6,10.5,10.4,10.4
"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",Thuringia,9.6,9.6,9.5,9,9.5,9.8,10.2,10.2,10.1,9.9
"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",Thuringia,8.4,8.3,8.8,9.4,8.8,8.3,8.4,8.3,8,8
Share at Manufacturing Employment Manufacture of electrical equipment,Thuringia,5.9,6,6.3,6.3,6.2,6.4,6.4,6.1,6.1,6.1
Share at Manufacturing Employment Manufacture of other non-metallic mineral products,Thuringia,5.9,6.1,6.1,6,6,5.9,5.6,5.5,5.5,5.6
"Wages Manufacture of fabricated metal products, except machinery and equipment",Thuringia,555.3,725.9,776.5,850.8,874.6,893.2,949.5,"1,029.20","1,096.90","1,163"
"Wages Manufacture of motor vehicles, trailers and semi-trailers",Thuringia,396.5,520.7,560.7,573.7,619.6,683.4,745.7,770.9,789.6,826.2
Wages Manufacture of machinery and equipment n.e.c.,Thuringia,472.5,600.6,607.7,670.2,691.6,699.1,743.1,747.4,768.1,795.9
Wages Manufacture of rubber and plastic products,Thuringia,345.9,451.1,488.8,510.6,534.4,573,600.1,639.2,681.5,709.9
"Wages Manufacture of computer, electronic and optical products",Thuringia,405.2,515.6,589.5,642.8,639.5,597.5,636,647.2,659.5,693.5
Wages Manufacture of food products,Thuringia,288.6,368.5,380,392,410.9,419.4,451.9,477.5,489.2,529.7
Wages Manufacture of electrical equipment,Thuringia,253.8,323.4,370.2,382.1,388,408.5,429,415.1,435.2,456
Wages Manufacture of other non-metallic mineral products,Thuringia,221.3,300.3,319.8,332.1,340.1,347.9,343.5,348,346.4,376.3
"Value Added (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Germany,"43,639.20","66,839.40","76,700.20","76,648.60","78,339.40","89,378.90","94,811.40","105,638.70","104,418.20","108,655.80"
Value Added (Million Euro) in Manufacture of machinery and equipment n.e.c.,Germany,"59,825.10","70,030.70","78,791.10","78,588.90","79,993.60","84,158","85,317.50","88,695.10","95,028.50","108,620.70"
"Value Added (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Germany,"35,276","42,088.90","47,044.10","46,202.60","47,879.50","49,509.60","49,570.50","53,002.60","54,374.40","62,178.30"
Value Added (Million Euro) in Manufacture of electrical equipment,Germany,"31,084.10","36,631.60","38,097.40","36,886.40","37,172.40","39,662","37,100.80","38,380.30","40,947.90","45,477.80"
Value Added (Million Euro) in Manufacture of chemicals and chemical products,Germany,"29,790.50","36,650.30","37,192.80","34,726.70","35,461.60","36,857.10","39,526.60","41,855.60","45,070","44,912.50"
Value Added (Million Euro) in Manufacture of food products,Germany,"27,911","29,586.20","29,600.20","29,637.20","30,701.40","31,349.20","33,014.50","35,541.30","36,625.80","39,701.20"
"Value Added (Million Euro) in Manufacture of computer, electronic and optical products",Germany,"18,155.30","22,995.80","24,668.30","22,892.80","24,122.50","25,804.40","29,590.40","31,812.40","32,642.70","35,300.20"
Value Added (Million Euro) in Manufacture of rubber and plastic products,Germany,"19,406.40","21,909.20","23,429.70","22,902","23,778.90","24,678.20","25,733.70","27,722.10","28,199.50","31,136.80"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Germany,"37,384","42,452","41,765","41,992","42,451","44,145","43,289","42,822","40,338","42,742"
Firms (Number) in Manufacture of food products,Germany,"20,520","30,710","30,185","29,106","27,703","27,754","25,768","24,426","21,498","26,543"
Firms (Number) in Other manufacturing,Germany,"15,053","18,778","18,873","18,225","18,449","19,922","19,797","19,226","19,096","19,520"
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Germany,"15,107","16,603","16,412","16,216","16,392","16,504","15,717","15,863","15,408","15,910"
Firms (Number) in Repair and installation of machinery and equipment,Germany,"9,688","11,891","12,274","12,433","12,347","14,218","13,769","14,918","14,084","15,252"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Germany,"9,318.70","10,482.50","12,502.50","13,642.70","13,867.10","13,633.50","14,328.80","15,428","15,666.20","17,065.10"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of machinery and equipment n.e.c.,Germany,"5,722.40","4,876.10","5,960.10","6,566.90","6,461.10","6,844.30","7,058.50","7,495.80","7,610.30","9,367.80"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,Germany,"4,935.40","4,456.40","4,983.70","4,855.20","5,504.10","5,257.20","5,183.40","5,085.90","5,810.70","6,846.50"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Germany,"3,653.40","3,593.40","4,787.90","4,756.40","4,581.40","4,783.30","5,009.80","5,274.10","5,241.10","6,315.60"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,Germany,"3,773.60","3,766.30","3,941.70","4,192.40","4,266.30","4,591.10","4,890.50","5,343.80","5,014.70","5,414"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of rubber and plastic products,Germany,"2,204.10","2,339.70","2,771.10","2,937.40","2,733.80","3,084.80","3,553.60","3,293.70","3,337.90","3,978.20"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of computer, electronic and optical products",Germany,"1,905.50","2,982.40","4,325.80","3,455.50","2,661.60","2,303.80","2,542.90","2,685.70","3,245.90","3,761.80"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of electrical equipment,Germany,"2,572","2,590.80","3,245.80","3,431.80","3,041.60","2,873","2,779.80","2,843.90","3,152.90","3,634.70"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Germany,"990,473","995,499","1,018,455","1,033,003","1,044,796","1,057,032","1,067,095","1,072,032","1,089,834","1,218,032"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Germany,"713,647","748,367","787,171","781,202","801,734","801,537","798,527","815,330","816,127","900,642"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Germany,"741,160","733,070","766,805","794,100","797,560","819,619","831,582","833,945","845,418","892,069"
"Employment (Number, FTE) in Manufacture of food products",Germany,"587,835","647,450","664,478","652,809","648,609","640,043","637,859","663,147","659,182","727,211"
"Employment (Number, FTE) in Manufacture of electrical equipment",Germany,"453,755","465,050","478,571","482,428","481,963","480,969","460,226","462,106","462,980","487,734"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Germany,"359,522","365,749","379,917","383,561","389,404","393,800","399,164","403,842","412,201","445,703"
"Employment (Number, FTE) in Manufacture of computer, electronic and optical products",Germany,"284,692","284,114","294,716","299,481","302,145","303,042","317,264","330,320","327,774","364,854"
"Employment (Number, FTE) in Manufacture of chemicals and chemical products",Germany,"313,317","310,829","322,171","319,160","323,308","322,028","318,582","324,417","344,435","358,543"
Share of Employees with Tertiary Education at Manufacturing Employment,Germany,22.9,23.4,23.3,24,24.6,24.9,25.6,26,26.4,26.6
Share of Employees with Tertiary Education at Manufacturing Employment,Baden-Württemberg,26.4,26.9,26.4,27.6,28.1,27.8,29.5,30.5,30.3,30.1
Share of Employees with Tertiary Education at Manufacturing Employment,Bayern,25.1,26.1,25.4,26.4,27.1,27.9,28.6,28.2,29.5,30.4
Share of Employees with Tertiary Education at Manufacturing Employment,Berlin,30.3,31.5,31.6,32.8,34.7,34.8,33.9,37.2,33.9,37.8
Share of Employees with Tertiary Education at Manufacturing Employment,Brandenburg,23.7,23.9,23.7,23.4,22.9,22.5,24.4,25.1,22.2,22
Share of Employees with Tertiary Education at Manufacturing Employment,Bremen,22.3,24.3,28.6,21.5,22.6,23.3,24.8,25.1,29.5,25.5
Share of Employees with Tertiary Education at Manufacturing Employment,Hamburg,29.2,29.4,31.2,30.7,31.4,35.9,34.9,35.8,34,35.8
Share of Employees with Tertiary Education at Manufacturing Employment,Hessen,24.3,25.6,26.1,26.6,26.6,27.1,25.5,27.5,28.6,26.8
Share of Employees with Tertiary Education at Manufacturing Employment,Mecklenburg-Vorpommern,15.7,18.4,18.3,18.9,18.1,18.2,22.1,18.8,20.1,20.7
Share of Employees with Tertiary Education at Manufacturing Employment,Niedersachsen,19.6,19.4,20.3,20.6,21.1,20.6,21.9,21.1,22.3,23.3
Share of Employees with Tertiary Education at Manufacturing Employment,North Rhine-Westphalia,20.4,20.1,19.8,20.4,21.3,22.1,22.2,23.5,23.5,23
Share of Employees with Tertiary Education at Manufacturing Employment,Rheinland-Pfalz,20.2,21.8,20.9,22.1,23.2,24.3,24.7,23.5,24.3,24.3
Share of Employees with Tertiary Education at Manufacturing Employment,Saarland,17,17.5,19.1,18.2,18.5,18.8,18.8,19,19.4,20.7
Share of Employees with Tertiary Education at Manufacturing Employment,Saxony,22.7,23.3,23,23.9,21.6,22.9,23.8,22.8,24.4,25
Share of Employees with Tertiary Education at Manufacturing Employment,Sachsen-Anhalt,17.6,17.5,18.6,17.7,20.4,19.3,19.2,19.2,16.1,17.7
Share of Employees with Tertiary Education at Manufacturing Employment,Schleswig-Holstein,18.5,19.7,21.9,21.2,22.2,21.3,23.3,23.5,23.8,22.9
Share of Employees with Tertiary Education at Manufacturing Employment,Thuringia,21,20.5,20.1,21.4,21.2,20.1,19.2,19.5,20.9,20.2
Share of Employees with Tertiary Education at Manufacturing Employment,Spain,30,31.5,32.5,34.6,36.3,36.7,35.8,35.6,36.7,38.1
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Germany,61.2,61.6,62.3,62.1,61.7,61.9,61.1,60.5,60.4,60.3
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Baden-Württemberg,56.2,56.5,57.5,56.6,56.7,57,55.2,55.1,55,55.4
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Bayern,58.8,59.1,60.1,59.9,59.5,59.3,58.7,58.1,57.7,57.3
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Berlin,55.3,56.4,54.9,55.4,54.8,53.2,52.1,52.9,54,51.8
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Brandenburg,68.6,68.6,69.8,70.6,72.4,72.5,70.7,69.3,71.6,70
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Bremen,61.1,61,57.4,56.8,61.5,55.5,54.2,58.3,55.9,60.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Hamburg,56.1,58.4,58.6,56.5,56.1,53,52.5,51.3,53.5,54.1
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Hessen,61.4,59.8,59.9,60.5,59.2,58.9,61.5,58.8,57.6,58.1
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Mecklenburg-Vorpommern,72.4,73.1,73.2,75,74.9,76.2,70.9,74.7,73.4,71.3
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Niedersachsen,63.5,64.4,64.8,64.9,65.2,65.9,65.2,64.6,63.6,62.9
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,North Rhine-Westphalia,60.2,61,62.1,62.3,61.3,61.5,60.9,60.1,60.4,61.1
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Rheinland-Pfalz,62.2,61,63,62.2,61.8,61.8,60.9,59.9,59.9,59.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Saarland,67.5,67.2,65.6,67.2,68.1,65,65.1,66.6,68.1,67.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Saxony,71.6,71.9,72.6,72.2,74,73,72.4,72.5,70.6,70.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Sachsen-Anhalt,74.5,75.6,74.7,75.9,73,74.6,74.3,73.8,76.8,74.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Schleswig-Holstein,65.7,65.1,63.5,63.7,64.4,66.4,64.3,64.7,64.3,65.2
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Thuringia,71.4,73,75.7,74.5,73.4,76,76.4,75.6,74.7,75.1
Share of Employees with Secondary or Post Secondary Non-Tertiary Education at Manufacturing Employment,Spain,22.5,23,22.6,22.8,22,22.6,23.3,23,22.9,22.6
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Germany,15.7,14.9,14.2,13.7,13.5,13.1,13.1,13.3,13.1,13
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Baden-Württemberg,17.4,16.5,16,15.6,15.1,15.2,15.3,14.3,14.5,14.3
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Bayern,15.6,14.5,14.2,13.4,13.1,12.6,12.5,13.5,12.7,12.2
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Berlin,14.3,12.1,13.5,11.6,10.4,11.9,14,9.9,11.9,10.3
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Brandenburg,7.7,7.4,6.5,5.9,4.8,5,4.9,5.5,6.1,8
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Bremen,16.3,14.7,13.4,20.8,14.8,19.6,19.6,16.1,13.9,14.3
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Hamburg,14.5,11.8,9.4,12.2,12.1,10.8,12.5,12.4,11.3,10
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Hessen,14.1,14.4,13.9,12.9,14.1,14,13,13.6,13.6,14.9
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Mecklenburg-Vorpommern,11.5,8.4,8.4,6.1,6.6,,6.7,6.5,,7.7
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Niedersachsen,16.8,16.1,14.7,14.2,13.5,12.8,12.6,14,13.9,13.6
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,North Rhine-Westphalia,19,18.7,18,17.1,17.3,16.4,16.6,16.3,16,15.7
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Rheinland-Pfalz,17.5,17.1,15.9,15.6,14.9,13.9,14.3,16.4,15.8,16.5
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Saarland,15.3,15.2,15.2,14.4,13.4,16,16.1,14.4,12.5,12.1
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Saxony,5.7,4.8,4.5,3.9,4.4,4.1,3.7,4.7,4.9,4.8
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Sachsen-Anhalt,7.7,6.7,6.3,6.4,6.6,6,6.2,6.8,6.6,7.3
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Schleswig-Holstein,15.7,15.1,14.4,14.9,13.3,12.3,12,11.4,11.1,11.6
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Thuringia,7.6,6.4,4.2,4,5.3,3.9,4.4,5,4.4,4.7
Share of Employees with Lower Secondary or Lower Education at Manufacturing Employment,Spain,47.4,45.5,44.9,42.6,41.7,40.7,40.9,41.4,40.4,39.3
"Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of motor vehicles, trailers and semi-trailers",Germany,87966,88220,90829,93519,92815,99946,108134,113865,126413,131597
"Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of computer, electronic and optical products",Germany,49963,51295,54647,58050,56346,57630,60351,61135,54574,56423
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of machinery and equipment n.e.c.,Germany,37874,37993,40463,41333,41941,42971,43292,44464,49323,50202
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of electrical equipment,Germany,13095,13361,15203,16343,19859,19534,20623,21405,23998,23849
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of chemicals and chemical products,Germany,21660,22123,22099,23919,21481,22795,23618,21667,21969,21409
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Germany,18928,19341,20386,20566,18767,19259,18357,19429,20071,21176
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Germany,,,,,,,,12.7,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of leather and related products,Germany,,,,,,,,12.4,,
"Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of motor vehicles, trailers and semi-trailers",Germany,,,,,,,,11.3,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of machinery and equipment n.e.c.,Germany,,,,,,,,6.9,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Other manufacturing,Germany,,,,,,,,6.1,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of electrical equipment,Germany,,,,,,,,6,,
"Business expenditure on R&D (BERD) in Million Euro   Manufacture of motor vehicles, trailers and semi-trailers",Germany,13820.7,14811.7,16312.4,17360.8,17187,19667.8,21466,21889,25655.8,27075.6
